COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP20,POP21,POP22
17,TO,1720903,Taguatinga,16825,16966,13986
17,TO,1720937,Taipas do Tocantins,2166,2183,2023
17,TO,1720978,Talismã,2812,2831,2661
17,TO,1721000,Palmas,306296,313349,334454
17,TO,1721109,Tocantínia,7617,7688,8518
17,TO,1721208,Tocantinópolis,22845,22820,23847
17,TO,1721257,Tupirama,1922,1952,1803
17,TO,1721307,Tupiratins,2729,2785,1861
17,TO,1722081,Wanderlândia,11734,11783,11586
17,TO,1722107,Xambioá,11520,11500,10519
21,MA,2100055,Açailândia,113121,113783,107263
21,MA,2100105,Afonso Cunha,6578,6631,6144
21,MA,2100154,Água Doce do Maranhão,12652,12731,12154
21,MA,2100204,Alcântara,22112,22126,18446
21,MA,2100303,Aldeias Altas,26757,26979,22549
21,MA,2100402,Altamira do Maranhão,8189,8250,6451
21,MA,2100436,Alto Alegre do Maranhão,27858,28066,23270
21,MA,2100477,Alto Alegre do Pindaré,31943,31967,25673
21,MA,2100501,Alto Parnaíba,11212,11233,11076
21,MA,2100550,Amapá do Maranhão,7005,7047,7162
21,MA,2100600,Amarante do Maranhão,41729,42017,36266
21,MA,2100709,Anajatuba,26988,27170,23968
21,MA,2100808,Anapurus,15894,16054,13795
21,MA,2100832,Apicum-Açu,17413,17582,17533
21,MA,2100873,Araguanã,15551,15675,11169
21,MA,2100907,Araioses,46771,47095,38980
21,MA,2100956,Arame,32764,32825,25646
21,MA,2101004,Arari,29932,30014,29302
21,MA,2101103,Axixá,12183,12234,11797
21,MA,2101202,Bacabal,104790,105094,104352
21,MA,2101251,Bacabeira,17252,17446,17073
21,MA,2101301,Bacuri,18654,18726,16206
21,MA,2101350,Bacurituba,5670,5696,5196
21,MA,2101400,Balsas,95929,96951,100257
21,MA,2101509,Barão de Grajaú,18924,19026,19310
21,MA,2101608,Barra do Corda,88492,88895,84708
21,MA,2101707,Barreirinhas,63217,63891,69312
21,MA,2101731,Belágua,7528,7586,8504
21,MA,2101772,Bela Vista do Maranhão,11279,11347,11911
21,MA,2101806,Benedito Leite,5638,5643,5472
21,MA,2101905,Bequimão,21299,21317,19572
21,MA,2101939,Bernardo do Mearim,6073,6102,5842
21,MA,2101970,Boa Vista do Gurupi,8382,8494,7622
21,MA,2102002,Bom Jardim,41822,42010,32894
21,MA,2102036,Bom Jesus das Selvas,34567,35095,28589
21,MA,2102077,Bom Lugar,16438,16578,11675
21,MA,2102101,Brejo,36651,36900,34116
21,MA,2102150,Brejo de Areia,9014,8841,9224
21,MA,2102200,Buriti,28798,28916,29693
21,MA,2102309,Buriti Bravo,23939,23993,22427
21,MA,2102325,Buriticupu,72983,73595,52395
21,MA,2102358,Buritirana,15467,15503,12870
21,MA,2102374,Cachoeira Grande,9478,9524,10227
21,MA,2102408,Cajapió,11216,11255,10032
21,MA,2102507,Cajari,19451,19521,16296
21,MA,2102556,Campestre do Maranhão,14453,14530,12185
21,MA,2102606,Cândido Mendes,20278,20376,19805
21,MA,2102705,Cantanhede,22117,22236,17355
21,MA,2102754,Capinzal do Norte,10935,10937,11372
21,MA,2102804,Carolina,24165,24151,24056
21,MA,2102903,Carutapera,23952,24095,24263
21,MA,2103000,Caxias,165525,166159,153634
21,MA,2103109,Cedral,10693,10711,10214
21,MA,2103125,Central do Maranhão,8740,8806,7086
