CD_MUN,cidade_gemea,sede,toca_linha,fronteira
5005707,0,1,0,1
5005806,0,1,0,1
5006002,0,0,0,1
5006259,0,0,0,1
5006358,1,1,1,1
5006606,1,1,1,1
5006903,1,1,1,1
5007208,0,1,0,1
5007703,0,1,1,1
5007901,0,0,0,1
5007950,0,1,0,1
5007976,0,0,0,1
5008404,0,1,0,1
5101258,0,1,0,1
5101605,0,0,0,1
5101704,0,0,0,1
5102504,1,1,1,1
5102686,0,1,0,1
5103304,0,1,1,1
5103361,0,1,0,1
5103437,0,1,0,1
5103809,0,1,0,1
5103957,0,1,0,1
5104500,0,1,0,1
5105002,0,1,0,1
5105234,0,1,0,1
5105507,0,1,1,1
5105622,0,1,0,1
5106109,0,0,0,1
5106182,0,1,0,1
5106505,0,0,0,1
5106752,0,1,0,1
5106828,0,1,1,1
5106851,0,0,0,1
5107107,0,1,0,1
5107156,0,1,0,1
5107206,0,1,0,1
5107750,0,1,0,1
5107875,0,0,0,1
5107958,0,0,0,1
5108352,0,1,0,1
